Entity,Code,Year,Living Planet Index
Latin America and the Caribbean,,1989,37.020263
Latin America and the Caribbean,,1990,35.569572
Latin America and the Caribbean,,1991,34.132442000000005
Latin America and the Caribbean,,1992,32.499528
Latin America and the Caribbean,,1993,30.347800000000003
Latin America and the Caribbean,,1994,28.054797999999998
Latin America and the Caribbean,,1995,25.8467
Latin America and the Caribbean,,1996,24.747573
Latin America and the Caribbean,,1997,23.336671
Latin America and the Caribbean,,1998,21.812765
Latin America and the Caribbean,,1999,19.95835
Latin America and the Caribbean,,2000,19.016159
Latin America and the Caribbean,,2001,18.458152
Latin America and the Caribbean,,2002,17.764032
Latin America and the Caribbean,,2003,16.717969
Latin America and the Caribbean,,2004,15.834408
Latin America and the Caribbean,,2005,15.409875000000001
Latin America and the Caribbean,,2006,15.119104
Latin America and the Caribbean,,2007,14.422368999999998
Latin America and the Caribbean,,2008,13.092011000000001
Latin America and the Caribbean,,2009,11.188099999999999
Latin America and the Caribbean,,2010,9.4993964
Latin America and the Caribbean,,2011,8.084096
Latin America and the Caribbean,,2012,7.323765
Latin America and the Caribbean,,2013,6.918912000000001
Latin America and the Caribbean,,2014,6.663473000000001
Latin America and the Caribbean,,2015,6.525281
Latin America and the Caribbean,,2016,5.97616
Latin America and the Caribbean,,2017,5.5900894
Latin America and the Caribbean,,2018,5.621798699999999
Latin America and the Caribbean,,2019,5.7098597
Latin America and the Caribbean,,2020,5.377315
North America,,1970,100
North America,,1971,99.518985
North America,,1972,97.91978
North America,,1973,95.73132
North America,,1974,91.89177
North America,,1975,89.91088
North America,,1976,89.314854
North America,,1977,89.9167
North America,,1978,90.695524
North America,,1979,91.205144
North America,,1980,91.358733
North America,,1981,91.43845
North America,,1982,91.13525
North America,,1983,90.957445
North America,,1984,90.03016000000001
North America,,1985,89.89684
North America,,1986,89.44456
North America,,1987,88.58817
North America,,1988,87.6093
North America,,1989,85.875744
North America,,1990,85.06336
North America,,1991,83.289903
North America,,1992,83.01433
North America,,1993,83.00382499999999
North America,,1994,83.59228
North America,,1995,81.87896
North America,,1996,79.80807399999999
North America,,1997,77.850854
North America,,1998,75.9126
North America,,1999,74.187624
North America,,2000,72.710913
North America,,2001,71.56855
North America,,2002,71.810484
North America,,2003,72.29514999999999
North America,,2004,73.93665
North America,,2005,73.84296
North America,,2006,73.64116299999999
North America,,2007,73.413026
North America,,2008,73.19164
North America,,2009,72.78037
North America,,2010,72.07213
North America,,2011,71.83682300000001
North America,,2012,70.69316
North America,,2013,69.847405
North America,,2014,69.22380299999999
North America,,2015,69.80753
North America,,2016,69.36165
North America,,2017,68.66212
North America,,2018,66.51272
North America,,2019,64.22505
North America,,2020,60.95505
World,OWID_WRL,1970,100
World,OWID_WRL,1971,99.406844
World,OWID_WRL,1972,98.14285000000001
World,OWID_WRL,1973,96.61677
World,OWID_WRL,1974,94.809854
World,OWID_WRL,1975,92.65501499999999
World,OWID_WRL,1976,89.991647
World,OWID_WRL,1977,86.367744
World,OWID_WRL,1978,82.86782000000001
World,OWID_WRL,1979,80.259967
World,OWID_WRL,1980,78.43339
World,OWID_WRL,1981,77.014565
World,OWID_WRL,1982,74.73171400000001
World,OWID_WRL,1983,72.17754
World,OWID_WRL,1984,69.707686
World,OWID_WRL,1985,67.67479
World,OWID_WRL,1986,66.16929999999999
World,OWID_WRL,1987,64.42259
World,OWID_WRL,1988,62.675349999999995
World,OWID_WRL,1989,61.357963000000005
World,OWID_WRL,1990,60.09213
World,OWID_WRL,1991,58.816165
World,OWID_WRL,1992,57.28322
World,OWID_WRL,1993,55.24195400000001
World,OWID_WRL,1994,53.247344
World,OWID_WRL,1995,51.149136
World,OWID_WRL,1996,50.24958
World,OWID_WRL,1997,48.922349999999994
World,OWID_WRL,1998,47.500777
World,OWID_WRL,1999,45.67586
World,OWID_WRL,2000,44.373488
World,OWID_WRL,2001,43.125597
World,OWID_WRL,2002,42.013386000000004
World,OWID_WRL,2003,40.928477
World,OWID_WRL,2004,39.984033000000004
World,OWID_WRL,2005,38.86755
World,OWID_WRL,2006,37.449524000000004
World,OWID_WRL,2007,35.952893
World,OWID_WRL,2008,34.355253000000005
World,OWID_WRL,2009,32.711408
World,OWID_WRL,2010,31.09998
World,OWID_WRL,2011,29.602800000000002
World,OWID_WRL,2012,28.667074
World,OWID_WRL,2013,28.413123000000002
World,OWID_WRL,2014,28.503707
World,OWID_WRL,2015,28.567332
World,OWID_WRL,2016,27.78848
World,OWID_WRL,2017,27.369870000000002
World,OWID_WRL,2018,27.097133
World,OWID_WRL,2019,27.327447999999997
World,OWID_WRL,2020,27.134067
